crm_batch,dic,dic_sd,alk,alk_sd,phos,sil,nitrite,nitrate,sal
182,2039.1,0.39,2230.91,0.71,0.35,2.7,0.01,1.6,33.1465
133,2022.04,0.33,2225.21,0.34,0.48,4.8,0,2.7,33.384
176,2024.22,0.82,2226.38,0.53,0.29,1.7,0.01,0.8,33.532
185,2029.88,0.62,2220.67,0.58,0.42,3,0,3.4,33.419
208,2059.66,0.67,2215.76,0.42,0.58,3.3,0.02,3.2,33.14
67,1983.75,0.48,2258.27,0.84,0.17,1.2,0.01,0.46,34.411
