bottle	0	7777	028	2	333	8	3	35	0	0	0
25.27	35	0	0
0.0	198.013494	24.86	10:59:28
0.15	224.6	24.89	11:00:30
0.3	245.4	24.89	11:01:05
0.45	259.8	24.94	11:01:47
0.6	270.3	24.94	11:02:21
0.75	278.9	24.97	11:02:44
0.9	286.8	24.98	11:03:18
1.05	294.1	25.01	11:03:45
1.2	301.1	25.01	11:04:12
1.35	308.1	25.04	11:04:38
1.5	315.5	25.03	11:05:05
1.65	323.5	25.05	11:05:31
1.8	332.9	25.07	11:05:58
1.95	344.6	25.07	11:06:24
2.1	361.4	25.08	11:06:51
2.25	390.2	25.09	11:07:18
2.4	421	25.13	11:07:44
2.55	437.9	25.12	11:08:11
2.7	448.4	25.17	11:08:37
2.85	455.9	25.15	11:09:04
3	461.8	25.18	11:09:31
3.15	466.6	25.18	11:09:58
3.3	470.5	25.18	11:10:24
3.45	474	25.20	11:10:51
3.6	477.1	25.26	11:11:18
3.75	479.9	25.27	11:11:45
3.9	482.4	25.27	11:12:11
4.05	484.6	25.27	11:12:38
4.2	486.7	25.27	11:13:05
