bottle	0	9999	20240220	5	0	21	1	35	0	0	0
24.22	35	0	0
0.0	186.01463	24.70	08:51:25
0.15	211.8	24.66	08:52:35
0.3	236	24.65	08:53:25
0.45	251.7	24.68	08:54:00
0.6	263.2	24.70	08:54:35
0.75	272.5	24.70	08:55:02
0.9	280.7	24.71	08:55:29
1.05	288.2	24.74	08:55:56
1.2	295.5	24.76	08:56:21
1.35	302.7	24.79	08:56:48
1.5	310.2	24.77	08:57:15
1.65	318.3	24.79	08:57:42
1.8	327.9	24.79	08:58:09
1.95	340	24.79	08:58:36
2.1	357.4	24.80	08:59:03
2.25	387.5	24.82	08:59:30
2.4	417.4	24.82	08:59:57
2.55	433.7	24.86	09:00:24
2.7	443.8	24.89	09:00:51
2.85	451.3	24.89	09:01:18
3	457	24.79	09:01:45
3.15	461.7	24.77	09:02:11
3.3	465.7	24.79	09:02:38
3.45	469.2	24.79	09:03:05
3.6	472.2	24.79	09:03:32
3.75	474.8	24.79	09:03:59
3.9	477.3	24.79	09:04:26
4.05	479.7	23.83	09:04:53
4.2	481.7	24.22	09:05:20
