Lucy Data Summary 20240120 13:17:21
 
Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (°C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (°C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (°C),TA pipette vol (ml),TA cell temp (°C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l)
0000_036_4_300_4_1, ,-999,-999,3,20240202,114722,0000,036,4,4,1,1,300,0,35,0,0,-999,21.8442,50,0,0,295,241885,9,24.29,96.7556,24.97,-999,-999,-999
0000_036_6_230_1_1, ,-999,-999,3,20240202,121530,0000,036,6,1,1,1,230,0,35,0,0,-999,21.8442,50,0,0,260,241943,9,24.14,96.7556,24.89,-999,-999,-999
0000_036_6_230_2_1, ,-999,-999,3,20240202,124232,0000,036,6,2,1,1,230,0,35,0,0,-999,21.8442,50,0,44,269,241546,9,24.21,96.7556,24.87,-999,-999,-999
0000_036_6_230_3_1, ,-999,-999,3,20240202,131109,0000,036,6,3,1,1,230,0,35,0,0,-999,21.8442,50,0,49,253,241691,9,24.21,96.7556,24.94,-999,-999,-999
0000_036_8_190_1_1, ,-999,-999,3,20240202,133827,0000,036,8,1,1,1,190,0,35,0,0,-999,21.8442,50,0,45,399,241541,9,24.44,96.7556,25,-999,-999,-999
0000_036_10_160_1_1, ,-999,-999,3,20240202,140509,0000,036,10,1,1,1,160,0,35,0,0,-999,21.8442,50,0,15,247,241602,9,24.35,96.7556,24.89,-999,-999,-999
0000_036_13_110_1_1, ,-999,-999,3,20240202,143208,0000,036,13,1,1,1,110,0,35,0,0,-999,21.8442,50,0,50,235,240967,9,24.37,96.7556,24.94,-999,-999,-999
0000_036_14_50_1_1, ,-999,-999,3,20240202,151442,0000,036,14,1,1,1,50,0,35,0,0,-999,21.8442,50,0,74,248,239515,9,24.32,96.7556,24.89,-999,-999,-999
0000_036_17_25_1_1, ,-999,-999,3,20240202,154521,0000,036,17,1,1,1,25,0,35,0,0,-999,21.8442,50,0,23,274,237341,9,24.48,96.7556,24.8,-999,-999,-999
0000_036_18_10_1_1, ,-999,-999,3,20240202,163055,0000,036,18,1,1,1,10,0,35,0,0,-999,21.8442,50,0,0,241,219800,9,24.42,96.7556,24.98,-999,-999,-999
0000_036_22_2_1_1, ,-999,-999,3,20240202,170514,0000,036,22,1,1,1,2,0,35,0,0,-999,21.8442,50,0,64,564,210630,9,24.44,96.7556,25.03,-999,-999,-999
0000_039_1_312_1_1, ,-999,-999,3,20240202,174351,0000,039,1,1,1,1,312,0,35,0,0,-999,21.8442,50,0,38,280,242463,9,24.06,96.7556,24.91,-999,-999,-999
0000_039_1_312_2_1, ,-999,-999,3,20240202,181048,0000,039,1,2,1,1,312,0,35,0,0,-999,21.8442,50,0,0,274,242818,9,24.39,96.7556,24.89,-999,-999,-999
0000_039_1_312_3_1, ,-999,-999,3,20240202,183916,0000,039,1,3,1,1,312,0,35,0,0,-999,21.8442,50,0,44,304,242467,9,24.39,96.7556,24.89,-999,-999,-999
0000_039_3_262_1_1, ,-999,-999,3,20240202,190802,0000,039,3,1,1,1,262,0,35,0,0,-999,21.8442,50,0,89,283,242820,9,24.49,96.7556,25.04,-999,-999,-999
0000_039_3_262_2_1, ,-999,-999,3,20240202,193437,0000,039,3,2,1,1,262,0,35,0,0,-999,21.8442,50,0,12,280,242718,9,24.55,96.7556,24.98,-999,-999,-999
0000_039_3_262_3_1, ,-999,-999,3,20240202,203049,0000,039,3,3,1,1,262,0,35,0,0,-999,21.8442,50,0,50,712,243290,9,24.39,96.7556,24.93,-999,-999,-999
0000_039_5_250_1_1, ,-999,-999,3,20240202,205911,0000,039,5,1,1,1,250,0,35,0,0,-999,21.8442,50,0,7,264,242676,9,24.57,96.7556,25.03,-999,-999,-999
