Lucy Data Summary 20240120 13:17:21
 
Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (°C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (°C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (°C),TA pipette vol (ml),TA cell temp (°C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l)
 
9999_20240120_1_0_1_1, ,-999,-999,1,20240120,131721,9999,20240120,1,1,1,5,0,0,35,0,0,-999,21.8442,200,0,62,216,226106,1,24.79,96.7556,-999,-999,-999,-999
9999_20240120_1_0_1_2, ,-999,-999,1,20240120,132727,9999,20240120,1,1,2,5,0,0,35,0,0,-999,21.8442,200,0,79,126,4605,1,24.75,96.7556,-999,-999,-999,-999
9999_20240120_5_0_0_1, ,-999,-999,1,20240120,142704,9999,20240120,5,0,1,5,0,0,35,0,0,-999,21.8442,200,0,85,224,226013,1,24.67,96.7556,-999,-999,-999,-999
9999_20240120_5_0_0_2, ,-999,-999,1,20240120,143941,9999,20240120,5,0,2,5,0,0,35,0,0,-999,21.8442,200,0,81,223,226379,1,24.78,96.7556,-999,-999,-999,-999
9999_20240120_5_0_0_3, ,-999,-999,1,20240120,145215,9999,20240120,5,0,3,5,0,0,35,0,0,-999,21.8442,200,0,44,219,226337,1,24.75,96.7556,-999,-999,-999,-999
9999_20240120_5_0_0_4, ,-999,-999,1,20240120,150455,9999,20240120,5,0,4,5,0,0,35,0,0,-999,21.8442,200,0,66,224,226062,1,24.74,96.7556,-999,-999,-999,-999
9999_20240120_5_0_0_5, ,-999,-999,1,20240120,151738,9999,20240120,5,0,5,5,0,0,35,0,0,-999,21.8442,200,0,60,229,226119,1,24.71,96.7556,-999,-999,-999,-999
9999_20240120_6_0_0_1, ,-999,-999,1,20240120,153602,9999,20240120,6,0,1,5,0,0,35,0,0,-999,21.8442,200,0,54,223,226089,1,24.77,96.7556,-999,-999,-999,-999
9999_20240120_6_0_0_2, ,-999,-999,1,20240120,154846,9999,20240120,6,0,2,5,0,0,35,0,0,-999,21.8442,200,0,24,231,225715,1,24.82,96.7556,-999,-999,-999,-999
9999_20240120_6_0_0_3, ,-999,-999,1,20240120,160129,9999,20240120,6,0,3,5,0,0,35,0,0,-999,21.8442,200,0,14,230,225732,1,24.85,96.7556,-999,-999,-999,-999
9999_20240120_6_0_0_4, ,-999,-999,1,20240120,161401,9999,20240120,6,0,4,5,0,0,35,0,0,-999,21.8442,200,0,59,220,225844,1,24.85,96.7556,-999,-999,-999,-999
9999_20240120_6_0_0_5, ,-999,-999,1,20240120,162637,9999,20240120,6,0,5,5,0,0,35,0,0,-999,21.8442,200,0,62,223,225360,1,24.84,96.7556,-999,-999,-999,-999
9999_20240120_7_0_0_1, ,-999,-999,1,20240120,173123,9999,20240120,7,0,1,5,0,0,35,0,0,-999,21.8442,50,0,48,343,226261,1,24.91,96.7556,-999,-999,-999,-999
9999_20240120_7_0_0_2, ,-999,-999,1,20240120,174619,9999,20240120,7,0,2,5,0,0,35,0,0,-999,21.8442,50,0,50,362,226409,1,24.94,96.7556,-999,-999,-999,-999
9999_20240120_7_0_0_3, ,-999,-999,1,20240120,180041,9999,20240120,7,0,3,5,0,0,35,0,0,-999,21.8442,50,0,39,327,225907,1,24.99,96.7556,-999,-999,-999,-999
9999_20240120_7_0_0_4, ,-999,-999,1,20240120,181349,9999,20240120,7,0,4,5,0,0,35,0,0,-999,21.8442,50,0,37,253,226029,1,24.98,96.7556,-999,-999,-999,-999
