bottle	0	0000	003	21	6	3	1	35	0	0	0
25.03	35	0	0
0.0	193.308451	24.69	02:30:35
0.15	219.3	24.70	02:31:52
0.3	240.5	24.70	02:32:42
0.45	255.1	24.70	02:33:39
0.6	265.6	24.76	02:34:28
0.75	274.4	24.79	02:35:10
0.9	282.2	24.79	02:35:44
1.05	289.4	24.80	02:36:11
1.2	296.7	24.82	02:36:45
1.35	303.7	24.84	02:37:12
1.5	311.2	24.86	02:37:38
1.65	319.4	24.88	02:38:05
1.8	329.1	24.88	02:38:32
1.95	341.2	24.89	02:38:58
2.1	359	24.89	02:39:25
2.25	389.6	24.89	02:39:52
2.4	419	24.89	02:40:18
2.55	435	24.91	02:40:45
2.7	445	24.91	02:41:11
2.85	452.4	24.94	02:41:38
3	458.1	24.96	02:42:04
3.15	462.8	24.98	02:42:31
3.3	466.7	24.97	02:42:58
3.45	470.2	24.98	02:43:24
3.6	473.3	25.00	02:43:51
3.75	475.9	25.00	02:44:17
3.9	478.5	25.03	02:44:44
4.05	480.7	25.03	02:45:10
4.2	482.9	25.03	02:45:37
