bottle	0	0000	101	8	600	17	1	35	0	0	0
25.32	35	0	0
0.0	194.232031	24.89	00:11:28
0.15	220.4	24.94	00:12:22
0.3	241	24.96	00:13:04
0.45	254.7	24.91	00:13:39
0.6	265.1	24.95	00:14:05
0.75	273.8	24.96	00:14:32
0.9	281.5	24.98	00:14:59
1.05	288.8	24.99	00:15:26
1.2	295.7	25.02	00:15:53
1.35	302.6	25.03	00:16:19
1.5	309.8	25.06	00:16:46
1.65	317.8	25.08	00:17:11
1.8	326.9	25.08	00:17:38
1.95	338.3	25.10	00:18:04
2.1	354.3	25.12	00:18:31
2.25	381.4	25.13	00:18:58
2.4	413.2	25.17	00:19:24
2.55	430.9	25.17	00:19:51
2.7	441.9	25.18	00:20:18
2.85	449.7	25.21	00:20:44
3	455.7	25.24	00:21:11
3.15	460.4	25.24	00:21:38
3.3	464.5	25.27	00:22:04
3.45	468.1	25.27	00:22:31
3.6	471.2	25.27	00:22:57
3.75	473.9	25.27	00:23:24
3.9	476.4	25.29	00:23:51
4.05	478.8	25.32	00:24:18
4.2	480.9	25.32	00:24:45
