bottle	0	9999	20240212	3	0	16	2	35	0	0	0
25.23	35	0	0
0.0	207.77642	24.80	06:26:53
0.15	231.6	24.86	06:27:40
0.3	248.5	24.83	06:28:15
0.45	260.5	24.84	06:28:49
0.6	270	24.88	06:29:16
0.75	278.3	24.89	06:29:43
0.9	285.8	24.89	06:30:10
1.05	292.9	24.89	06:30:37
1.2	299.9	24.91	06:31:03
1.35	307.1	24.92	06:31:30
1.5	314.8	24.94	06:31:57
1.65	323.4	24.98	06:32:24
1.8	333.9	24.98	06:32:51
1.95	348.2	25.01	06:33:18
2.1	371.1	25.03	06:33:45
2.25	404.8	25.04	06:34:12
2.4	426.7	25.06	06:34:39
2.55	439.1	25.07	06:35:06
2.7	447.6	25.08	06:35:33
2.85	454.2	25.08	06:36:00
3	459.3	25.10	06:36:27
3.15	463.5	25.12	06:36:54
3.3	467.2	25.14	06:37:21
3.45	470.5	25.15	06:37:48
3.6	473.3	25.17	06:38:15
3.75	475.9	25.18	06:38:42
3.9	478.4	25.21	06:39:16
4.05	480.5	25.22	06:39:43
4.2	482.4	25.23	06:40:10
