bottle	0	0000	054	11	160	11	1	35	0	0	0
25.26	35	0	0
0.0	198.925852	24.88	14:22:38
0.15	225.3	24.89	14:23:34
0.3	246.7	24.89	14:24:16
0.45	260.9	24.92	14:24:51
0.6	271.6	24.94	14:25:25
0.75	280.3	24.96	14:25:52
0.9	288.2	24.98	14:26:19
1.05	295.5	25.00	14:26:46
1.2	302.5	25.01	14:27:13
1.35	309.6	25.03	14:27:40
1.5	316.9	25.03	14:28:07
1.65	325	25.04	14:28:34
1.8	334.5	25.06	14:29:01
1.95	346.4	25.07	14:29:28
2.1	363.8	25.08	14:29:55
2.25	393.4	25.08	14:30:22
2.4	423.2	25.10	14:30:49
2.55	439.5	25.10	14:31:16
2.7	449.8	25.13	14:31:43
2.85	457.3	25.14	14:32:10
3	463	25.17	14:32:37
3.15	467.7	25.18	14:33:04
3.3	471.7	25.18	14:33:31
3.45	475.1	25.18	14:33:58
3.6	478.2	25.21	14:34:24
3.75	481	25.21	14:34:51
3.9	483.4	25.23	14:35:18
4.05	485.6	25.24	14:35:45
4.2	487.7	25.26	14:36:12
